Sr. No.,TrainName,TrainNumber,Originating City,Originating Station,TerminalCity,TerminalStation,Operator,No. of Cars,Frequency,Distance,TravelTime,Speed,AverageSpeed,Inauguration,Averageoccupancy
11,Rani Kamalapati (Habibganj) - Hazrat Nizamuddin Vande Bharat Express,20171/20172,Bhopal,Habibganj (Rani Kamalapati),Delhi,Hazrat Nizamuddin,WCR,16,Except Saturdays,702 km (436 mi),07h 30m,160 km/h (99 mph),94 km/h (58 mph),04-01-2023,0.9
12,Secunderabad - Tirupati Vande Bharat Express,20701/20702,Hyderabad,Secunderabad Junction,Tirupati,Tirupati,SCR,16,Except Tuesdays,661 km (411 mi),08h 15m,130 km/h (81 mph),80 km/h (50 mph),04-08-2023,1.1
13,MGR Chennai Central - Coimbatore Vande Bharat Express,20643/20644,Chennai,Chennai Central,Coimbatore,Coimbatore Junction,SR,8,Except Wednesdays,495 km (308 mi),05h 50m,130 km/h (81 mph),85 km/h (53 mph),04-08-2023,1.5
14,Delhi Cantonment - Ajmer Vande Bharat Express,20977/20978,Delhi,Delhi Cantonment,Ajmer,Ajmer Junction,NWR,16,Except Wednesdays,428 km (266 mi),05h 15m,110 km/h (68 mph),82 km/h (51 mph),04-12-2023,0.7
15,Kasaragod - Thiruvananthapuram Vande Bharat Express,20633/20634,Kasaragod,Kasaragod,Thiruvananthapuram,Thiruvananthapuram Central,SR,16,Except Thursdays,587 km (365 mi),08h 05m,110 km/h (68 mph),73 km/h (45 mph),4/25/2023,1.77
16,Howrah - Puri Vande Bharat Express,22895/22896,Kolkata,Howrah Junction,Puri,Puri,SER,16,Except Thursdays,500 km (310 mi),06h 25m,130 km/h (81 mph),78 km/h (48 mph),5/18/2023,0.99
17,Anand Vihar Terminal - Dehradun Vande Bharat Express,22457/22458,Delhi,Anand Vihar Terminal,Dehradun,Dehradun Terminal,NR,8,Except Wednesdays,304 km (189 mi),04h 45m,130 km/h (81 mph),64 km/h (40 mph),5/25/2023,1
18,New Jalpaiguri - Guwahati Vande Bharat Express,22227/22228,Siliguri,New Jalpaiguri Junction,Guwahati,Guwahati,NFR,8,Except Tuesdays,407 km (253 mi),05h 30m,110 km/h (68 mph),74 km/h (46 mph),5/29/2023,0.91
19,Mumbai CSMT - Madgaon Vande Bharat Express,22229/22230,Mumbai,Chhatrapati Shivaji Terminus,Madgaon,Madgaon Junction,CR,16,"Except Fridays
(Non-Monsoon)",586 km (364 mi),"07h 45m
(Non-Monsoon)",120 km/h (75 mph),"75 km/h (47 mph)
(Non-Monsoon)",6/27/2023,0.94
19,Mumbai CSMT - Madgaon Vande Bharat Express,22229/22230,Mumbai,Chhatrapati Shivaji Terminus,Madgaon,Madgaon Junction,CR,16,"Monday, Wednesday, Friday (22229)
Tuesday, Thursday, Saturday (22230)
(Monsoon)",586 km (364 mi),"10h 05m
(Monsoon)",120 km/h (75 mph),"57 km/h (35 mph)
(Monsoon)",6/27/2023,0.94
20,Patna - Ranchi Vande Bharat Express,22349/22350,Patna,Patna Junction,Ranchi,Ranchi Junction,ECR,8,Except Tuesdays,379 km (235 mi),06h 00m,130 km/h (81 mph),63 km/h (39 mph),6/27/2023,1.18
21,KSR Bengaluru - Dharwad Vande Bharat Express,20661/20662,Bangalore,Bangalore City,Hubbali - Dharwad,Dharwad,SWR,8,Except Tuesdays,490 km (300 mi),06h 25m,130 km/h (81 mph),76 km/h (47 mph),6/27/2023,0.72
22,Rani Kamalapati (Habibganj) - Jabalpur Vande Bharat Express,20173/20174,Bhopal,Habibganj (Rani Kamalapati),Jabalpur,Jabalpur Junction,WCR,8,Except Tuesdays,337 km (209 mi),04h 40m,110 km/h (68 mph),73 km/h (45 mph),6/27/2023,0.44
23,Indore - Bhopal Vande Bharat Express,20911/20912,Indore,Indore Junction,Bhopal,Bhopal Junction,WR,8,Except Sundays,250 km (160 mi),03h 05m,110 km/h (68 mph),82 km/h (51 mph),6/27/2023,0.37
24,Jodhpur - Sabarmati (Ahmedabad) Vande Bharat Express,12461/12462,Jodhpur,Jodhpur Junction,Ahmedabad,Sabarmati Junction,NWR,8,Except Tuesdays,449 km (279 mi),06h 10m,130 km/h (81 mph),73 km/h (45 mph),07-07-2023,0.53
25,Gorakhpur - Lucknow Charbagh Vande Bharat Express,22549/22550,Gorakhpur,Gorakhpur Junction,Charbagh,Lucknow Charbagh,NER,8,Except Saturdays,296 km (184 mi),04h 15m,110 km/h (68 mph),71 km/h (44 mph),07-07-2023,0.77
